Entry_Number,Description,Category,Weight_g,Location,Page
Entry-24-101,• THCOil - 28 Grams,Concentrate,28.0,,24
Entry-24-102,"• Pre-RolledCannabis - 2,066.5 Grams",Flower,66.5,,24
Entry-24-103,"• Pre-PackagedCannabis-3,294.75 Grams",Flower,294.75,,24
Entry-24-104,• THC Gummies-912.13 Grams,Edible,912.13,,24
Entry-24-105,• SuspectedPsílocybin Edibles/Gummies - 460Grams,Edible,460.0,,24
Entry-24-106,• Box Containing Various PackagingMaterial,Ambiguous,,,24
Entry-24-107,• THC Cartridges -767 Grams,Cartridge,767.0,,24
Entry-24-108,• THCOil-56 Grams,Concentrate,56.0,,24
Entry-24-109,• Pre-Rolled Cannabis-373.5 Grams,Flower,373.5,,24
Entry-24-110,• Pre-Packaged Cannabis-613.5 Grams,Flower,613.5,,24
Entry-24-111,• THCGummies -345.9 Grams,Edible,345.9,,24
Entry-24-112,• SuspectedPsilocybin Edibles/Gummies - 23.8 Grams,Edible,23.8,,24
Entry-24-113,"• THCCartridges - 7,985.4 Grams",Cartridge,985.4,,24
Entry-24-114,• THC Oil - 374Grams,Concentrate,374.0,,24
Entry-24-115,"• Pre-Rolled Cannabis - 3,566.95Grams",Flower,566.95,,24
Entry-24-116,"• Pre-Packaged Cannabis - 2,128.3 Grams",Flower,128.3,,24
Entry-24-117,"• LooseBulkCannabis- 3,057 Grams",Flower,57.0,,24
Entry-24-118,"• THC Edibles/Gummies -6,348.4Grams",Edible,348.4,,24
Entry-24-119,"• SuspectedPsilocybinEdibles/Gummies - 1,453.68Grams",Edible,453.68,,24
Entry-24-120,"Detective Armiger knows that Maryland is a total THC state, where some states throughout the United",Unknown,,,24
Entry-24-121,Cannabis sample's total THC mustnot exceed 0.3% onadryweight basis.,Flower,,,24
Entry-24-98,• THC - 2918.3 Grams,Unknown,2918.3,,24
Entry-24-99,• SuspectedPsilocybin Edibles/Gummies - 616.6 Grams,Edible,616.6,,24
Entry-25-122,an undercover capacity to conduct undercover purchases ofCannabis from each location. These purchases were,Flower,,,25
Entry-25-123,"Asa resultofthefieldtesting, Cannabis from each storetestedhigherthan the0.3% permittablebyMaryland State",Flower,,testedhigherthan the0,25
Entry-25-125,03/18/25 Tobacco Town 3.5 Grams Cannabis 10.7% TotalTHC,Flower,3.5,,25
Entry-25-126,03/18/25 Convenience City Inc. 17.5 Grams Cannabis 18.5% Total THC,Flower,17.5,,25
Entry-25-127,04/03/25 Smoke StarInc. 7 GramsCannabis 22.7% Total THC,Flower,,,25
Entry-25-128,04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7% TotalTHC,Flower,3.5,,25
Entry-25-129,Pre-Rolled Cannabis,Flower,,,25
Entry-25-130,Cigarettes,Preroll,,,25
Entry-25-131,gradeCannabis. DetectiveArmigerfurtherconsultedwithAgentMangoldoftheATCCwho advisedthattheabove,Flower,,,25
Entry-25-132,"and Delta-8 THC products, as well as Hemp derived products that contain less than 0.3% Delta-9 THC",Unknown,,,25
Entry-25-133,Cannabis products that were consistentwith the tested Cannabis from the initialpurchases. lt should also be noted,Flower,,,25
Entry-25-134,"that upon scanning some of the QR codes on the pre-rolled Cannabis cigarettes, they would direct the person",Flower,,,25
Entry-25-135,"scanning to a third-party tests' results page, which advertised a higher total THC content. This information was",Unknown,,,25
s,as examples ofthetotal THC ofthepurchasesand pretesteditems.,Unknown,,,25
Entry-27-136,"toDistributeControlledDangerousSubstances(CDS)asdefinedinCriminal LawArticleSections1-202,",Preroll,,,27
Entry-27-137,"5-601 through 5-621, dealing generally with Controlled Dangerous Substances, including narcotics,",Preroll,,,27
Entry-28-138,"participating in the distribution of high-grade Cannabis. CI-1 is a past, proven, and reliable",Flower,,,28
Entry-28-139,"During the third week ofFebruary 2025, Sgt. Helfutilized CI-1 to conduct a controlled",Preroll,,,28
Entry-28-140,purchaseofCannabis fromtheAllin OneFoodMart. TheCannabis wasthen transported bySgt.,Flower,,,28
Entry-28-142,theLightLab3CannabisAnalyzer.As aresultofthetestthepurchasedCannabistestedat25.4%,Flower,,,28
at 1215,"HelftotheMarylandAlcohol,Tobacco, and CannabisCommission (ATCC),located at 1215 East",Flower,,,28
Entry-29-143,only licensed Cannabis businesses such as dispensaries can sell Cannabis. Maryland state law,Flower,,,29
Entry-29-144,prohibits anyone without a Cannabis license from distributing a product intended for human,Flower,,,29
Entry-29-145,undercover capacitypurchased various quantities ofCannabis from eachofthe retailbusinesses.,Flower,,,29
Entry-29-146,"• 03/18125, 3.5 Grams Cannabis & 3 Pre-RolledCannabis Cigarettes",Flower,3.5,,29
Entry-29-147,"• 05/14/25,3.5 Grams Cannabis",Flower,3.5,,29
Entry-30-148,"• 03/18/25,3.5 Grams Cannabis",Flower,3.5,,30
Entry-30-149,"• 0S/14/25, 3 Pre-Rolled Cannabis Cigarettes",Flower,,,30
Entry-30-150,"• 03/18/25, 17.SGramsCannabis",Flower,,,30
Entry-30-151,"• S/21/25, 6Pre-RolledCannabis Cigarettes",Flower,,,30
Entry-30-152,"• 04/03125, 3.5 GramsCannabis & 2 Pre-Rolled Cannabis Cigarettes",Flower,,,30
Entry-30-153,"• 0S/14/25, 3 Pre-Rolled2 Gram Blunts",Preroll,,,30
Entry-30-154,"• 04/03/25, 7Grams Cannabis",Flower,7.0,,30
Entry-30-155,"• 0S/14/25, 3.S Grams Cannabis",Flower,,,30
Entry-30-156,"• 04/03/25,2 Grams Cannabis& 2Pre-Rolled Cannabis Cigarettes",Flower,2.0,,30
Entry-30-157,"• 0S/14/25, 2 Grams Cannabis&3 Pre-Rolled CannabisCigarettes",Flower,2.0,,30
Entry-30-158,• 0S/15/25 3.SGramsCannabis,Flower,,,30
Entry-30-159,• 3/18/lSt3.S Grams Cannabis,Flower,,,30
Entry-30-160,"05/14/25, 3.5 Grams Cannabis",Flower,3.5,,30
Entry-31-161,Duringthe subsequentpurchasesdetectives observed Cannabis 1tßlondisplay for purchasethat,Flower,,,31
Entry-31-162,was consistent with the tested Cannabis from the Initial purchases. Detectives also observed,Flower,,,31
Entry-31-163,rolledstyle Cannabis cigarettes aswell.,Flower,,,31
Entry-31-164,Cannabis dispensary license.,Flower,,,31
Entry-31-165,Inadditiontoarrestsforcontrolleddangeroussubstancesandresponses tocallsforservicerelated,Preroll,,,31
Entry-31-166,"possessionandpossessionwithintenttodistributemarijuana, cocaine,methamphetamine, fentanyl, and",Flower,,,31
Entry-32-167,"relatedto narcoticsinvestigationswhichhaveresulted intheseizureofcontrolleddangeroussubstances,",Preroll,,,32
Entry-32-168,"Cocaine, Psilocybin, MDMA,andvarious prescriptionpills.",Edible,,,32
Entry-32-169,"sale, anddistribution ofcontrolled dangerous substances.",Preroll,,,32
Entry-32-170,"ofcontrolled dangerous substances violations, youraffiant has found that persons involved in the use,",Preroll,,,32
Entry-32-171,"manufacturing, and distribution ofcontrolled dangerous substances are often involved in the use and",Preroll,,,32
Entry-32-172,"distributionofothercontrolleddangeroussubstanceswhichis aregenerativeactivity,thatis aportionof",Preroll,,,32
Entry-32-173,theproceeds from thesaleofcontrolleddangerous substancesisusedto buymoreforresale.,Preroll,,,32
Entry-32-174,Youraffiant has also participated and completed controlled purchases for controlled dangerous,Preroll,,,32
Entry-32-175,"knowledge, and experience, the controlled purchases from the abovereferenced retail & tobacco",Preroll,,,32
Entry-33-176,shopsofsuspectedCannabis thattestedoverthelegal limitforTHC thatisallowablefor atobacco,Flower,,,33
Entry-33-177,"theintenttodistributeand/orpossessionofcontrolleddangeroussubstances,ashereinbeforecited,",Preroll,,,33
Entry-33-178,"controlled dangerous substances violations, found in or upon said premises and person(s) in close",Preroll,,,33
related,contain evidence related to controlled dangerous substance violations and answering machine and,Preroll,,,33
Entry-34-180,violations ofthecontrolleddangeroussubstances laws;,Preroll,,,34
Entry-35-181,"Distribution, PossessionwithIntentto Distribute, andPossession ofa Controlled Dangerous Substances",Preroll,,,35
Entry-35-182,"Controlled Dangerous Substances, including narcotics, hallucinogens, and other dangerous drugs",Preroll,,,35
Entry-36-183,"operation of controlled dangerous substances violations, found in or upon said premises and",Preroll,,,36
Entry-36-184,"person(s) in close proximity to contraband, controlled dangerous substances or controlled",Preroll,,,36
Entry-36-185,controlled dangerous substance violations and answeringmachineandansweringmachinetapes;,Preroll,,,36
Entry-36-186,fromviolations ofthecontrolled dangeroussubstances laws;,Preroll,,,36
Entry-37-187,"Distribution, PossessionwithIntentto Distribute, andPossessionofaControlled Dangerous Substances",Preroll,,,37
Entry-37-188,"Controlled Dangerous Substances, including narcotics, hallucinogens, and other dangerous drugs are",Preroll,,,37
Entry-38-189,"operation ofcontrolled dangerous substances violations, found in or upon said premises and",Preroll,,,38
Entry-38-190,"person(s) in close proximity to contraband, controlled dangerous substances or controlled",Preroll,,,38
Entry-38-191,controlleddangerous substanceviolations and answeringmachineand answeringmachinetapes;,Preroll,,,38
Entry-38-192,fromviolations ofthecontrolleddangerous substanceslaws;,Preroll,,,38
Entry-39-193,"Distribution,PossessionwithIntentto Distribute,andPossessionofaControlledDangerousSubstances",Preroll,,,39
Entry-39-194,"Controlled Dangerous Substances, including narcotics, hallucinogens, and other dangerous drugs are",Preroll,,,39
Entry-40-195,"operation of controlled dangerous substances violations, found in or upon said premises and",Preroll,,,40
Entry-40-196,"person(s) in close proximity to contraband, controlled dangerous substances or controlled",Preroll,,,40
Entry-40-197,controlleddangerous substance violations and answeringmachineandansweringmachinetapes;,Preroll,,,40
Entry-40-198,fromviolations ofthe controUeddangeroussubstanceslaws;,Ambiguous,,,40
Entry-41-199,"Distribution, PossessionwithIntentto Distribute, andPossessionof aControlledDangerous Substances",Preroll,,,41
Entry-41-200,"Controlled Dangerous Substances, including narcotics, hallucinogens, and other dangerous drugs are",Preroll,,,41
Entry-42-201,"operation of controlled dangerous substances violations, found in or upon said premises and",Preroll,,,42
Entry-42-202,"person(s) in close proximity to contraband, controlled dangerous substances or controlled",Preroll,,,42
Entry-42-203,controlleddangerous substanceviolations andansweringmachineand answeringmachinetapes;,Preroll,,,42
Entry-42-204,from violations ofthe controlleddangeroussubstanceslaws;,Preroll,,,42
Entry-43-205,"Distribution, PossessionwithIntentto Distribute, andPossessionof aControlledDangerous Substances",Preroll,,,43
Entry-43-206,"Controlled Dangerous Substances, including narcotics, hallucinogens, and other dangerous drugs",Preroll,,,43
Entry-44-207,"operation of controlled dangerous substances violations, found in or upon said premises and",Preroll,,,44
Entry-44-208,"person(s) in close proximity to contraband, controlled dangerous substances or controlled",Preroll,,,44
Entry-44-209,controlleddangeroussubstanceviolations andansweringmachineandansweringmachinetapes;,Preroll,,,44
Entry-44-210,fromviolationsofthe controlled dangeroussubstanceslaws;,Preroll,,,44
Entry-45-211,"Distribution, PossessionwithIntenttoDistribute, andPossessionof a Controlled Dangerous Substances",Preroll,,,45
Entry-45-212,"Controlled Dangerous Substances, including narcotics, hallucinogens, and other dangerous drugs are",Preroll,,,45
Entry-46-213,"operation of controlled dangerous substances violations, found in or upon said premises and",Preroll,,,46
Entry-46-214,"person(s) in close proximity to contraband, controlled dangerous substances or controlled",Preroll,,,46
Entry-46-215,controlled dangerous substanceviolations andansweringmachineandanswering machinetapes;,Preroll,,,46
Entry-46-216,from violations ofthe controlleddangeroussubstances laws;,Preroll,,,46
Entry-47-217,"Distribution, PossessionwithIntentto Distribute, andPossessionofaControlled Dangerous Substances",Preroll,,,47
Entry-47-218,"Controlled Dangerous Substances, including narcotics, hallucinogens, and other dangerous drugs are",Preroll,,,47
Entry-48-219,"operation of controlled dangerous substances violations, found in or upon said premises and",Preroll,,,48
Entry-48-220,"person(s) in close proximity to contraband, controlled dangerous substances or controlled",Preroll,,,48
Entry-48-221,controlled dangerous substance violations and answeringmachineandansweringmachinetapes;,Preroll,,,48
Entry-48-222,from violations ofthecontrolleddangeroussubstances laws;,Preroll,,,48
Entry-49-223,"Annotated, Criminal Procedure, Title 12 (Forfeiture-Controlled Dangerous Substances Violations). You",Preroll,,,49
Entry-50-224,"Annotated, Criminal Procedure, Title 12 (Forfeiture-Controlled Dangerous Substances Violations). You",Preroll,,,50
Entry-51-225,"Maryland Code Annotated, Criminal Procedure, Title 12 (Forfeiture-Controlled Dangerous",Preroll,,,51
Entry-51-226,Substances Violations). You have been identified as the owner or party having interest ofthe,Ambiguous,,,51
Entry-52-227,"Maryland Code Annotated, Criminal Procedure, Title 12 (Forfeiture-Controlled Dangerous",Preroll,,,52
Entry-52-228,Substances Violations). You have been identified as the owner or party having interest ofthe,Ambiguous,,,52
Entry-53-229,"Maryland Code Annotated, Criminal Procedure, Title 12 (Forfeiture-Controlled Dangerous",Preroll,,,53
Entry-53-230,Substances Violations). You have been identified as the owner or party having interest ofthe,Ambiguous,,,53
Entry-54-231,"Maryland Code Annotated, Criminal Procedure, Title 12 (Forfeiture-Controlled Dangerous",Preroll,,,54
Entry-54-232,Substances Violations). You have been identified as the owner or party having interest ofthe,Ambiguous,,,54
Entry-55-233,"Maryland Code Annotated, Criminal Procedure, Title 12 (Forfeiture-Controlled Dangerous",Preroll,,,55
Entry-55-234,Substances Violations). You have been identified as the owner or party having interest ofthe,Ambiguous,,,55
Entry-56-235,"Annotated, Criminal Procedure, Title 12 (Fcrfciture-Ccntrolled Dangerous Substances Violations). You have bocn",Preroll,,,56
Entry-58-236,The fiOIlOWlll_gdeta1·¡saIl moniessei.zedpursuantto th·1s .invesfrgaf 1011:,Concentrate,,,58
Entry-64-237,"revealsthatCBD/delta($89,177.02), Flower",Flower,,,64
Entry-64-238,"u ' . . l , ... j • . . . . . .. ($96,394.02), and Vape Pens ($91,866.47)",Cartridge,,,64
Entry-67-239,"CigaretteIJupplier. _,",Preroll,,,67
Entry-68-240,CannabisffHC O,Flower,,,68
Entry-68-241,Cigarette lZJ Special Cigarette IZI OTPJ;:J OtherO,Preroll,,,68
Entry-68-242,Cigarette Supplier: DeliveryDate: MD Stamps Yes0 No O,Preroll,,,68
Entry-69-243,CannabisffHC er,Flower,,,69
Entry-69-244,Cigarette üJ....-· Special Cigarette ¡j- OTPB Other@-·,Preroll,,,69
Entry-69-245,"CigaretteSupplier;.: T · ,'J ) Deliv _ er _ y Date: ··, -1i ·: ·1,' MD Stamps Yes Q No O",Preroll,,,69
Entry-70-246,AND CANNABIS COMMISSION,Flower,,,70
Entry-70-247,"*""'* Effective July I, 2023, only Maryland Cannabis Administration cannabis",Flower,,,70
Entry-70-248,"license holders may seJJ or distributeintoxicating cannabis products, to",Flower,,,70
Entry-70-249,"intoxicating cannabis products, to include intoxicating hemp derived products",Flower,,,70
Entry-70-250,by businesses that are not Maryland Cannabis Administration cannabis,Flower,,,70
Entry-70-251,"OnMay 3, 2023, Governor Wes Moore signedinto lawthe CannabisReform Act(Chapter",Flower,,,70
Entry-70-252,"254/255of2023), which establishedthe adult-userecreational cannabismarket. TheCannabis",Flower,,,70
Entry-70-253,"Reform Act(""CRA"")created the MarylandCannabis Administration (""MCA"") as the",Flower,,,70
Entry-70-254,pertainingto Maryland'smedical and adult-use cannabis industry.1,Flower,,,70
Entry-70-255,"While the MCA is tasked withoverseeingthe licensedcannabis market, the Alcohol,Tobacco,",Flower,,,70
Entry-70-256,"and CannabisCommission(""ATCC"") - formerly, the Alcohol and Tobacco Commission - is",Flower,,,70
Entry-70-257,"tasked withenforcing statelaws pertaining to theunlicensedcannabismarket. Specifically, the",Flower,,,70
Entry-70-258,"Alcoholic Beverages andCannabisArticle's (""ABCA"")provisions concerning the unlawful",Flower,,,70
Entry-70-259,"importation, manufacture, transportation, distribution, andsale ofunlicensedcannabisproducts.",Flower,,,70
Entry-70-260,"Underlaw, the MCA has the sole authority to issue licenses to cannabisbusinesseswithinthe",Flower,,,70
Entry-70-261,StateofMaryland. Only an MCAcannabis licenseholdermay sell ordistributecannabis,Flower,,,70
Entry-70-262,"oft.otaltetrahydrocannabinul(""THC"")contentperserving or2.5 milligranrs ofTHCper",Unknown,,,70
Entry-71-263,Thismeans thatbusinesses thatarenotcannabislicenseholders m?ynotsellùuoxicating,Flower,,,71
Entry-71-264,"cannabisproducts, to includeintoxicatinghemp-derivedproducts. This includes edibles,",Flower,,,71
Entry-71-265,"beverages,orother cannabisproducts intended forhumanconsumptionor inhalation thatcontain",Flower,,,71
Entry-71-266,anytypeofTHCabo?thesúdutoryrestrictions.,Flower,,,71
Entry-71-267,"o Delta-8-THC, Delta-9-THC,andDelta-IO-THC, regardlessofhowderived;",Unknown,,,71
Entry-71-268,"o Any otherchemicallysimilarcompound, substance, derivative, or isomerofTHC,",Ambiguous,,,71
Entry-71-269,"Accordingly, the ATCCdirectsall businessesthatare notMCAcannabis license holders",Flower,,,71
Entry-71-270,but seD intoxicating cannabisproducts -to includehempderivedproducts -to REMOVE,Flower,,,71
Entry-71-271,from theirshelvesproducts with a tobl THC concentration greater than 0.5 mgper,Unknown,,,71
Entry-71-272,"occurring cannabinoids, such as tetrahydrocannabinol acetate(fHC-0,ATHC,THC-X,",Unknown,,,71
Entry-71-273,"finishedproduct, such as CBD-dominantgummies oredibles that donothave",Edible,,,71
Entry-71-274,o Hemp-derived tincture maybesold withoutalicense ifthe product contains a,Edible,,,71
Entry-71-275,"CBO:THC ratio that isatleast 15:l orgreater, e.g. aproductwith2mgofTHC",Unknown,,,71
Entry-71-277,"ofbusinesses to identify unlicensedcannabisoperators byinspectingproducts,displayed forsale",Flower,,,71
l00,"glycerin, orvegetable oil); andcontains nomorethan l00 milligrams ofTHCper",Concentrate,,,71
Entry-72-278,"tocustomers,during business hours. Ifintoxicatingcannabisproducts, to include intoxicating",Flower,,,72
Entry-72-279,"thebusiness is notlicensedto sell intoxicatingcannabis products, to include intoxicatinghemp",Flower,,,72
Entry-72-280,"Businessesthatare not MCAcannabis licenseholders butsell intoxicatingcannabis products, to",Flower,,,72
Entry-72-281,"distributing intoxicating cannabisproducts, lo includeintoxicating hemp derived products.",Flower,,,72
Entry-72-282,"These intoxicating cannabis products, includingintoxicatinghempderivedproducts,mustbe",Flower,,,72
Entry-72-283,sold without anMCA issuedcannabislicense. Businesses thatare notMCAcannabislicense,Flower,,,72
Entry-72-284,"holders,butcurrentlysell intoxicating cannabisproducts, to include hemp derivedproducts,",Flower,,,72
Entry-73-285,"Maryland Alcohol,Tobacco,andCannabisCommissionContacts",Flower,,,73
Entry-73-286,o Inquiriesregardinga.liAlcoholic BeverageTradePractices.,Edible,,,73
Entry-73-287,• MarylandCannabisAdministration:informa1i1m.mmcc{£1!111arylar1d.gov,Flower,,,73
Entry-73-288,o Questionsaboutthecannabisenforcementprocess.,Flower,,,73
Entry-76-289,Delta8 Gummies,Edible,,,76
Entry-83-290,701 TURKANA CIRCLE 5Medit:al't:wagesandtips t;Medlcartltaxwlfhheld,Cartridge,,,83
box12,"eEmployee'sl\lffle,address,and2JPoodtt 1laSeelnoilructlonsfa,box12",Concentrate,,,89
Entry-91-292,? CQMPTROLLER Fiold Enforcement Division,Preroll,,,91
Entry-91-293,"o The property identified in this Notice was confiscated under the provisions of the Alcoholic Beverages Article,",Edible,,,91
Entry-91-294,against the Comptroller in the Circuit Court where the seizureoccurred within 30 daysofthedate ofthe seizureor,Preroll,,,91
Entry-91-295,Notice of Seizure. A copy of the claim filed with the Circuit Court must be served upon the Comptroller of,Preroll,,,91
Entry-93-296,CQM PTROLLER Field Enforcement Division,Preroll,,,93
Entry-93-297,"o The property identified in this Notice was confiscated under the provisions of the Alcoholic: Beverages Article,",Edible,,,93
Entry-93-298,againstthe Comptroller in the Circuit Courtwherethe seizureoccurredwithin 30 days of the date oftheseizure or,Preroll,,,93
Entry-93-299,Notice of Seizure. A copy of the claim filed with the Circuit Court must be served upon the Comptroller of,Preroll,,,93
Entry-94-300,"Cigarette p! SpecialCigarettej!J OTP,i!l Restaurant o Chal ..el O!llef o",Preroll,,,94
Entry-95-301,"Alcohol, Tobacco, and Cannabis Commission",Flower,,,95
Entry-95-302,"CannabisCommission, 1215 FortAve, Ste.300, Baltimore, Maryland21230.",Flower,,,95
Entry-95-303,"Alcohol, Tobacco,and CannabisCommission",Flower,,,95
Entry-117-304,Unknown,Ambiguous,,,117
Entry-117-305,SafeDepositBox Unknown,Ambiguous,,,117
Entry-130-306,"vfe¡t,tlo(•)beNlllyfol!WI•O?<>l'Iu!'ldorti.1-.of...,_Stat.oilbtyllnd.",Concentrate,,,130
Entry-150-307,Oilier s s Ag.,Concentrate,,,150
Entry-155-308,Unknown,Ambiguous,,,155
Entry-155-309,SafeDepositBox Unknown,Ambiguous,,,155
Entry-161-310,"Annotated. Criminal Procedure, Title 12 (Forfeiture-Controlled Dangerous Substances Violations). You",Preroll,,,161
Entry-162-311,"Annotmd, Crùn.in.al Procedure, Title 12 (Forfeiture-Controlled Dangerous Substances Violations). You",Preroll,,,162
Entry-162-312,"Sda,n?forfeibudofpropatyis•kplMtútu. NolAÜfKùtddslloclllllent•ayHœnstnudIISkgal",Flower,,,162
Entry-163-313,"Maryland Code Annotated, Criminal Procedure, Title 12 (Forfeiture-Controlled Dangerous",Preroll,,,163
Entry-163-314,Substances Violations). You have been identifiedas the owner or party having interest ofthe,Ambiguous,,,163
Entry-164-315,"Maryland Code Annotated, Criminal Procedure, Title 12 (Forfeiture-Controlled Dangerous",Preroll,,,164
Entry-164-316,Substances Violations). You havebeen identified as the owner or party having interest ofthe,Ambiguous,,,164
Entry-165-317,"Maryland Code Annotated, Criminal Procedure, Title 12 (Forfeiture-Controlled Dangerous",Preroll,,,165
Entry-165-318,Substances Violations). You have been identified as the owner or party having interest ofthe,Ambiguous,,,165
Entry-166-319,"Maryland Code Annotated, Criminal Procedure, Title 12 (Forfeiture-Controlled Dangerous",Preroll,,,166
Entry-166-320,Substances Violations). You have been identified as the owner or party having interest ofthe,Ambiguous,,,166
Entry-167-321,"Maryland Code Annotated, Criminal Procedure, Title 12 (Forfeiture-Controlled Dangerous",Preroll,,,167
Entry-167-322,Substances Yiolatíons). You bave been identified as the owner or party having interest ofthe,Ambiguous,,,167
Entry-168-323,"Annotated, Criminal Procedure, Tide 12 (Forfcitw-o-Cootrollcd Dangerous SubstancesViolations). Yw havebeco",Preroll,,,168
Entry-170-324,"used in connection with the unlawful manufacture, distribution, dispensing or possession ofControlled",Preroll,,,170
Entry-170-325,in an account(s) whetherheldjointlyorindividually in thenameof;,Preroll,,,170
Entry-170-326,"found in or upon HARFORD 13ANK, in an aceount(s) whetherheldjointly or individually in the",Preroll,,,170
Entry-170-327,"whetherheldjointly orindividuallyinthenameofZABEERBABAR,D.O.IJ.1/1/1973,SS#",Preroll,,,170
Entry-171-328,"jointly or individually in the nameofZAHEER HABAR. D.O.ß. 1/1/1?73, SS#",Preroll,,,171
Entry-171-329,"accountbalance(s) m HARFORDBANK,inanaccount(s)whetherheldjointlyorindividuallyinthe",Preroll,,,171
Entry-171-330,"whetherheldjointlyorindividuallyinthcnameofZAHEERBABAR,D.O.B. l/J/1973,SS#",Preroll,,,171
Entry-171-331,"I. Accountnumbers andbranch locationforall accounts,openorclosed,heldindividuallyorjointly;",Preroll,,forall accounts,171
Entry-172-332,"jointlyor individually in the nameofZAHEER BAB D.0.8. 1/1/1973,SS# I¡",Preroll,,,172
Entry-172-333,"account(s) whetherheldjointly or individuallyin thenameofZAIŒERBABAR, D.O.B. 1/1/1973, SS#",Preroll,,,172
Entry-173-334,"connection with theunlawful manufacture,distribution, dispensingorpossession ofControlled and",Preroll,,,173
Entry-173-335,in an account(s)whetherheldjointlyorindivi-duallyinthenameof;,Preroll,,,173
Entry-173-336,"distributing high-gradecannabis illegally.Acontrolled purchase confirmed cannabis sales, and lab",Flower,,,173
Entry-173-337,undercoverpurchasesofillegal cannabis products from all seven Bubar-owned businesses. Lab tests,Flower,,,173
Entry-173-338,confirmed THC content significantly above the legal limit at each location. Observations revealed,Unknown,,,173
Entry-173-339,cannabis wassold inunmarkedpackagingoropenlyweighedand distributed fromjarsin-store.,Flower,,,173
Entry-174-340,Noneofthebusinesseshadastatelicensetosellcannabis.Searchandseizurewarrantswereissuedand,Flower,,,174
Entry-174-341,"executedonMay29,2025.AtAllinOneFoodMart,cannabis wasstill on display,andan employee,",Flower,,,174
Entry-176-342,"pounds ofmarijuana (Cannabis), Edibles, Vapes, Cartridges, and more. Due to theoverwhelming",Flower,,,176
Entry-176-343,Marijuana I,Flower,,,176
Entry-176-344,Cannabis,Flower,,,176
Entry-178-345,"""Flower"" and""CBD/Delta""(detailedin thebelowpicture)comprisesthebulkofsalesforeach ofthe",Flower,,,178
Entry-179-346,"accounts,listedtoHARFORD BANK,inan acc - oun I ?eldjointlyorindividuallyinthoname",Preroll,,,179
Entry-179-347,"amountsofControlled Dangerous Substances, youraffiaatknows:",Preroll,,,179
Entry-179-348,"greed, in particular, the unlawful manufacture, distribution, dispensing, or possession ofControlled",Preroll,,,179
Entry-180-349,Inadditionto arrestsforcontrolleddangeroussubstancesandresponsestocallsforservicerelatedto,Preroll,,,180
Entry-180-350,"possessionand possessionwithintenttodistributemarijuana,cocaine,methamphetamine, fentanyl,",Flower,,,180
Entry-181-351,searchwarrantsrelatedto narcoticsinvestigationswhichhaveresulted lntheseizureofcontrolled,Preroll,,,181
Entry-181-352,"dangeroussubstances,monies,assets,andthearrestsofseveralpersons. Youraffianthasalsomade",Ambiguous,,,181
Entry-181-353,"includingLSD, Ketamine, Cocaine,Psilocybín, MOMA,and variousprescriptionpills.",Edible,,,181
Entry-181-354,"ordering,sale, anddistributionofcontrolled dangerous substances.",Preroll,,,181
Entry-181-355,"ofcontrolled dangeroussubstancesviolations, youraffianthas foundthatpersons involvedin the",Preroll,,,181
Entry-181-356,"use,manufacturing,anddistributionofcontrolleddangeroussubstances",Preroll,,,181
Entry-181-357,"anddistribution ofothercontrolleddangerous substanceswhichisaregenerativeactivity,thatisa",Preroll,,,181
Entry-181-358,portion ofthe proceeds from the sale ofcontrolled dangerous substances is usedto buy morefor,Preroll,,,181
Entry-181-359,Your aftiant has also participated and completed controlled purchases for controlled dangerous,Preroll,,,181
Entry-182-360,"A. Enterandsearch HARFORDBANK, in anaccount(s) whetherheldjointlyorindividuallyin",Preroll,,,182
Entry-182-361,"heldjointlyorindividuallyinthenameofZAHEERBABA D.0.8.1/1/1973,SS#",Preroll,,,182
Entry-182-362,"account balance whether held jointly or individually, in the HARFORD BANK, in an",Preroll,,,182
Entry-183-363,jointly;,Preroll,,,183
Entry-183-364,"accountïs) whetherheldjointlyorindividuallyinthename ofZAHEERBABA D,O.B. 1/1/1973,",Preroll,,,183
Entry-192-365,The£oilowing d etai l saIl monies sei.ze dpursuantto thi s m. ves f igat10n:,Concentrate,,,192
Entry-197-366,"""""' .. reveals that CBD/delta ($89,177.02), Flower",Flower,,,197
Entry-197-367,"?· t . ? • .. ? .. , , - ? _ · _ ($96,394.02), and Vape Pens ($91,866.47)",Cartridge,,,197
Entry-201-368,to DistributeControlledDangerousSubstances(CDS)asdefinedinCriminal LawArticleSections 1-202.,Preroll,,,201
Entry-201-369,"5-60I through 5-621, dealing generally with Controlled Dangerous Substances, including narcotics,",Preroll,,,201
Entry-202-370,"participating in the distribution of high-grade Cannabis. Cl-I is a past, proven, and reliable",Flower,,,202
Entry-202-371,"During the third week of February 2025, Sgt. Helf utilized Cl-1 to conduct a controlled",Preroll,,,202
Entry-202-372,purchaseofCannabis from theAUin OneFoodMart.TheCannabis wasthentransported bySgt.,Flower,,,202
at 1215,"Helfto the Maryland Alcohol, Tobacco, and CannabisCommission (ATCC), located at 1215 East",Flower,,,202
at25,the Light Lab3CannabisAnalyzer. As aresultofthetestthepurchasedCannabistested at25.4%,Flower,,,202
Entry-203-375,only licensed Cannabis businesses such as dispensaries can sell Cannabis. Maryland state law,Flower,,,203
